report_id|region|sub_region|application_area|observing_programme|report_type|station_name|station_type|platform_type|platform_sub_type|primary_station_id|station_record_number|primary_station_id_scheme|longitude|latitude|location_accuracy|location_method|location_quality|crs|station_speed|station_course|station_heading|height_of_station_above_local_ground|height_of_station_above_sea_level|height_of_station_above_sea_level_accuracy|sea_level_datum|report_meaning_of_timestamp|report_timestamp|report_duration|report_time_accuracy|report_time_quality|report_time_reference|profile_id|events_at_station|report_quality|duplicate_status|duplicates|record_timestamp|history|processing_level|processing_codes|source_id|source_record_id
C-RAID-1.2-1260810-0|null|null|{1,7,10,11}|null|0|null|2|5|69|5500933|1|8|153.79500|-50.56600|2|0|1|0|null|null|null|0.00000|0.00000|null|null|2|2004-12-20 13:58:27|0|1.00000|1|null|null|null|2|4|null|2024-04-18 13:41:14|null|null|null|C-RAID-1.2|null
C-RAID-1.2-1260810-1|null|null|{1,7,10,11}|null|0|null|2|5|69|5500933|1|8|153.79562|-50.56413|null|null|8|0|null|null|null|0.00000|0.00000|null|null|2|2004-12-20 14:31:33|0|1.00000|1|null|null|null|2|4|null|2024-04-18 13:41:14|null|null|null|C-RAID-1.2|null
C-RAID-1.2-1260810-2|null|null|{1,7,10,11}|null|0|null|2|5|69|5500933|1|8|153.79600|-50.56300|2|0|1|0|null|null|null|0.00000|0.00000|null|null|2|2004-12-20 14:51:33|0|1.00000|1|null|null|null|2|4|null|2024-04-18 13:41:14|null|null|null|C-RAID-1.2|null
C-RAID-1.2-1260810-3|null|null|{1,7,10,11}|null|0|null|2|5|69|5500933|1|8|153.81584|-50.56217|null|null|8|0|null|null|null|0.00000|0.00000|null|null|2|2004-12-20 15:31:03|0|1.00000|1|null|null|null|2|4|null|2024-04-18 13:41:14|null|null|null|C-RAID-1.2|null
C-RAID-1.2-1260810-4|null|null|{1,7,10,11}|null|0|null|2|5|69|5500933|1|8|153.82000|-50.56200|2|0|1|0|null|null|null|0.00000|0.00000|null|null|2|2004-12-20 15:39:20|0|1.00000|1|null|null|null|2|4|null|2024-04-18 13:41:14|null|null|null|C-RAID-1.2|null
C-RAID-1.2-1260810-5|null|null|{1,7,10,11}|null|0|null|2|5|69|5500933|1|8|153.82207|-50.55424|null|null|8|0|null|null|null|0.00000|0.00000|null|null|2|2004-12-20 16:31:09|0|1.00000|1|null|null|null|2|4|null|2024-04-18 13:41:14|null|null|null|C-RAID-1.2|null
C-RAID-1.2-1260810-6|null|null|{1,7,10,11}|null|0|null|2|5|69|5500933|1|8|153.82400|-50.54700|2|0|1|0|null|null|null|0.00000|0.00000|null|null|2|2004-12-20 17:19:25|0|1.00000|1|null|null|null|2|4|null|2024-04-18 13:41:14|null|null|null|C-RAID-1.2|null
C-RAID-1.2-1260810-7|null|null|{1,7,10,11}|null|0|null|2|5|69|5500933|1|8|153.82461|-50.54772|null|null|8|0|null|null|null|0.00000|0.00000|null|null|2|2004-12-20 17:31:48|0|1.00000|1|null|null|null|2|4|null|2024-04-18 13:41:14|null|null|null|C-RAID-1.2|null
C-RAID-1.2-1260810-8|null|null|{1,7,10,11}|null|0|null|2|5|69|5500933|1|8|153.82757|-50.55116|null|null|8|0|null|null|null|0.00000|0.00000|null|null|2|2004-12-20 18:31:21|0|1.00000|1|null|null|null|2|4|null|2024-04-18 13:41:14|null|null|null|C-RAID-1.2|null
C-RAID-1.2-1260810-9|null|null|{1,7,10,11}|null|0|null|2|5|69|5500933|1|8|153.83057|-50.55466|null|null|8|0|null|null|null|0.00000|0.00000|null|null|2|2004-12-20 19:31:50|0|1.00000|1|null|null|null|2|4|null|2024-04-18 13:41:14|null|null|null|C-RAID-1.2|null
