coordinates:TIME,coordinates:LATITUDE,coordinates:LONGITUDE,coordinates:TRAJECTORY,coordinates:DEPH,data_variables:TIME_QC,data_variables:POSITION_QC,data_variables:DC_REFERENCE,data_variables:TEMP,data_variables:TEMP_QC,global_attributes:platform_code,global_attributes:platform_name,global_attributes:wmo_platform_code,global_attributes:ices_platform_code,global_attributes:transmitter_system,global_attributes:start_mission_date,global_attributes:end_mission_date,global_attributes:estimated_drogue_off_date,global_attributes:source,global_attributes:source_platform_category_code,global_attributes:institution,global_attributes:institution_edmo_code,global_attributes:institution_country,global_attributes:institution_references,global_attributes:naming_authority,global_attributes:title,global_attributes:summary,global_attributes:data_mode,global_attributes:wmo_instrument_type,global_attributes:area,global_attributes:geospatial_lat_min,global_attributes:geospatial_lat_max,global_attributes:geospatial_lon_min,global_attributes:geospatial_lon_max,global_attributes:geospatial_vertical_min,global_attributes:geospatial_vertical_max,global_attributes:time_coverage_start,global_attributes:time_coverage_end,global_attributes:cdm_data_type,global_attributes:featureType,global_attributes:bottom_depth,global_attributes:last_date_observation,global_attributes:last_latitude_observation,global_attributes:last_longitude_observation,global_attributes:references,global_attributes:license,global_attributes:update_interval,global_attributes:citation,global_attributes:doi,global_attributes:id,global_attributes:netcdf_version,global_attributes:format_version,global_attributes:Conventions,global_attributes:date_modified,global_attributes:history,global_attributes:publisher_email,global_attributes:publisher_name,global_attributes:publisher_url,global_attributes:publisher_institution,dimensions:NTIME
2017-05-02 00:00:00,14.76360034942627,-17.47559928894043,1301529,0.0,1,4,1049579874,23.309999465942383,4,1301529,Drifting Buoy,1301529,,IRIDIUM,2017-03-16 00:00:00,2017-04-02 00:00:00,2017-04-02 00:00:00,drifting surface float,42,Scripps Institution of Oceanography,1390,United States,,Copernicus Marine In Situ,Global Ocean - In Situ Observation Copernicus,,R,,Global Ocean,14.3588,15.1236,-18.302,-17.322,0.0,0.0,2017-03-15 11:45:00,2017-07-28 08:00:00,trajectory,trajectory,,2017-05-01 09:00:00,14.8176,-17.4946,http://marine.copernicus.eu http://www.marineinsitu.eu,https://marine.copernicus.eu/user-corner/service-commitments-and-licence,P1M,These data were collated within the Copernicus Marine Service (In Situ) and EMODnet collaboration framework. Data is made freely available by the Copernicus Marine Service and the programs that contribute to it.,https://doi.org/10.13155/59938 https://doi.org/10.13155/40846 https://doi.org/10.13155/53381 https://doi.org/10.13155/36230 https://doi.org/10.13155/43494,GL_TS_DB_1301529,netCDF-4 classic model,2.0,CF-1.11 Copernicus-InSituTAC-FormatManual-2.0.0 Copernicus-InSituTAC-ParametersList-3.3.0 Copernicus-InSituTAC-AttributesList-1.0.0,2025-04-08 08:14:07,2025-04-08T08:14:07Z : Creation,cmems-service@ifremer.fr,Copernicus Marine Service,https://marine.copernicus.eu/ http://www.marineinsitu.eu/,Ifremer,0
2017-05-02 01:00:00,14.76200008392334,-17.475799560546875,1301529,0.0,1,4,1049581618,22.770000457763672,4,1301529,Drifting Buoy,1301529,,IRIDIUM,2017-03-16 00:00:00,2017-04-02 00:00:00,2017-04-02 00:00:00,drifting surface float,42,Scripps Institution of Oceanography,1390,United States,,Copernicus Marine In Situ,Global Ocean - In Situ Observation Copernicus,,R,,Global Ocean,14.3588,15.1236,-18.302,-17.322,0.0,0.0,2017-03-15 11:45:00,2017-07-28 08:00:00,trajectory,trajectory,,2017-05-01 09:00:00,14.8176,-17.4946,http://marine.copernicus.eu http://www.marineinsitu.eu,https://marine.copernicus.eu/user-corner/service-commitments-and-licence,P1M,These data were collated within the Copernicus Marine Service (In Situ) and EMODnet collaboration framework. Data is made freely available by the Copernicus Marine Service and the programs that contribute to it.,https://doi.org/10.13155/59938 https://doi.org/10.13155/40846 https://doi.org/10.13155/53381 https://doi.org/10.13155/36230 https://doi.org/10.13155/43494,GL_TS_DB_1301529,netCDF-4 classic model,2.0,CF-1.11 Copernicus-InSituTAC-FormatManual-2.0.0 Copernicus-InSituTAC-ParametersList-3.3.0 Copernicus-InSituTAC-AttributesList-1.0.0,2025-04-08 08:14:07,2025-04-08T08:14:07Z : Creation,cmems-service@ifremer.fr,Copernicus Marine Service,https://marine.copernicus.eu/ http://www.marineinsitu.eu/,Ifremer,1
2017-05-02 02:00:00,14.762399673461914,-17.475799560546875,1301529,0.0,1,4,1049583248,22.799999237060547,4,1301529,Drifting Buoy,1301529,,IRIDIUM,2017-03-16 00:00:00,2017-04-02 00:00:00,2017-04-02 00:00:00,drifting surface float,42,Scripps Institution of Oceanography,1390,United States,,Copernicus Marine In Situ,Global Ocean - In Situ Observation Copernicus,,R,,Global Ocean,14.3588,15.1236,-18.302,-17.322,0.0,0.0,2017-03-15 11:45:00,2017-07-28 08:00:00,trajectory,trajectory,,2017-05-01 09:00:00,14.8176,-17.4946,http://marine.copernicus.eu http://www.marineinsitu.eu,https://marine.copernicus.eu/user-corner/service-commitments-and-licence,P1M,These data were collated within the Copernicus Marine Service (In Situ) and EMODnet collaboration framework. Data is made freely available by the Copernicus Marine Service and the programs that contribute to it.,https://doi.org/10.13155/59938 https://doi.org/10.13155/40846 https://doi.org/10.13155/53381 https://doi.org/10.13155/36230 https://doi.org/10.13155/43494,GL_TS_DB_1301529,netCDF-4 classic model,2.0,CF-1.11 Copernicus-InSituTAC-FormatManual-2.0.0 Copernicus-InSituTAC-ParametersList-3.3.0 Copernicus-InSituTAC-AttributesList-1.0.0,2025-04-08 08:14:07,2025-04-08T08:14:07Z : Creation,cmems-service@ifremer.fr,Copernicus Marine Service,https://marine.copernicus.eu/ http://www.marineinsitu.eu/,Ifremer,2
2017-05-02 05:00:00,14.762399673461914,-17.475799560546875,1301529,0.0,1,4,1049716241,22.6200008392334,4,1301529,Drifting Buoy,1301529,,IRIDIUM,2017-03-16 00:00:00,2017-04-02 00:00:00,2017-04-02 00:00:00,drifting surface float,42,Scripps Institution of Oceanography,1390,United States,,Copernicus Marine In Situ,Global Ocean - In Situ Observation Copernicus,,R,,Global Ocean,14.3588,15.1236,-18.302,-17.322,0.0,0.0,2017-03-15 11:45:00,2017-07-28 08:00:00,trajectory,trajectory,,2017-05-01 09:00:00,14.8176,-17.4946,http://marine.copernicus.eu http://www.marineinsitu.eu,https://marine.copernicus.eu/user-corner/service-commitments-and-licence,P1M,These data were collated within the Copernicus Marine Service (In Situ) and EMODnet collaboration framework. Data is made freely available by the Copernicus Marine Service and the programs that contribute to it.,https://doi.org/10.13155/59938 https://doi.org/10.13155/40846 https://doi.org/10.13155/53381 https://doi.org/10.13155/36230 https://doi.org/10.13155/43494,GL_TS_DB_1301529,netCDF-4 classic model,2.0,CF-1.11 Copernicus-InSituTAC-FormatManual-2.0.0 Copernicus-InSituTAC-ParametersList-3.3.0 Copernicus-InSituTAC-AttributesList-1.0.0,2025-04-08 08:14:07,2025-04-08T08:14:07Z : Creation,cmems-service@ifremer.fr,Copernicus Marine Service,https://marine.copernicus.eu/ http://www.marineinsitu.eu/,Ifremer,3
2017-05-02 06:00:00,14.76200008392334,-17.475799560546875,1301529,0.0,1,4,1049718263,22.510000228881836,4,1301529,Drifting Buoy,1301529,,IRIDIUM,2017-03-16 00:00:00,2017-04-02 00:00:00,2017-04-02 00:00:00,drifting surface float,42,Scripps Institution of Oceanography,1390,United States,,Copernicus Marine In Situ,Global Ocean - In Situ Observation Copernicus,,R,,Global Ocean,14.3588,15.1236,-18.302,-17.322,0.0,0.0,2017-03-15 11:45:00,2017-07-28 08:00:00,trajectory,trajectory,,2017-05-01 09:00:00,14.8176,-17.4946,http://marine.copernicus.eu http://www.marineinsitu.eu,https://marine.copernicus.eu/user-corner/service-commitments-and-licence,P1M,These data were collated within the Copernicus Marine Service (In Situ) and EMODnet collaboration framework. Data is made freely available by the Copernicus Marine Service and the programs that contribute to it.,https://doi.org/10.13155/59938 https://doi.org/10.13155/40846 https://doi.org/10.13155/53381 https://doi.org/10.13155/36230 https://doi.org/10.13155/43494,GL_TS_DB_1301529,netCDF-4 classic model,2.0,CF-1.11 Copernicus-InSituTAC-FormatManual-2.0.0 Copernicus-InSituTAC-ParametersList-3.3.0 Copernicus-InSituTAC-AttributesList-1.0.0,2025-04-08 08:14:07,2025-04-08T08:14:07Z : Creation,cmems-service@ifremer.fr,Copernicus Marine Service,https://marine.copernicus.eu/ http://www.marineinsitu.eu/,Ifremer,4
2017-05-02 08:00:00,14.762200355529785,-17.475799560546875,1301529,0.0,1,4,1049772214,22.690000534057617,4,1301529,Drifting Buoy,1301529,,IRIDIUM,2017-03-16 00:00:00,2017-04-02 00:00:00,2017-04-02 00:00:00,drifting surface float,42,Scripps Institution of Oceanography,1390,United States,,Copernicus Marine In Situ,Global Ocean - In Situ Observation Copernicus,,R,,Global Ocean,14.3588,15.1236,-18.302,-17.322,0.0,0.0,2017-03-15 11:45:00,2017-07-28 08:00:00,trajectory,trajectory,,2017-05-01 09:00:00,14.8176,-17.4946,http://marine.copernicus.eu http://www.marineinsitu.eu,https://marine.copernicus.eu/user-corner/service-commitments-and-licence,P1M,These data were collated within the Copernicus Marine Service (In Situ) and EMODnet collaboration framework. Data is made freely available by the Copernicus Marine Service and the programs that contribute to it.,https://doi.org/10.13155/59938 https://doi.org/10.13155/40846 https://doi.org/10.13155/53381 https://doi.org/10.13155/36230 https://doi.org/10.13155/43494,GL_TS_DB_1301529,netCDF-4 classic model,2.0,CF-1.11 Copernicus-InSituTAC-FormatManual-2.0.0 Copernicus-InSituTAC-ParametersList-3.3.0 Copernicus-InSituTAC-AttributesList-1.0.0,2025-04-08 08:14:07,2025-04-08T08:14:07Z : Creation,cmems-service@ifremer.fr,Copernicus Marine Service,https://marine.copernicus.eu/ http://www.marineinsitu.eu/,Ifremer,5
2017-05-02 09:00:00,14.76360034942627,-17.472999572753906,1301529,0.0,1,4,1049773859,23.1299991607666,4,1301529,Drifting Buoy,1301529,,IRIDIUM,2017-03-16 00:00:00,2017-04-02 00:00:00,2017-04-02 00:00:00,drifting surface float,42,Scripps Institution of Oceanography,1390,United States,,Copernicus Marine In Situ,Global Ocean - In Situ Observation Copernicus,,R,,Global Ocean,14.3588,15.1236,-18.302,-17.322,0.0,0.0,2017-03-15 11:45:00,2017-07-28 08:00:00,trajectory,trajectory,,2017-05-01 09:00:00,14.8176,-17.4946,http://marine.copernicus.eu http://www.marineinsitu.eu,https://marine.copernicus.eu/user-corner/service-commitments-and-licence,P1M,These data were collated within the Copernicus Marine Service (In Situ) and EMODnet collaboration framework. Data is made freely available by the Copernicus Marine Service and the programs that contribute to it.,https://doi.org/10.13155/59938 https://doi.org/10.13155/40846 https://doi.org/10.13155/53381 https://doi.org/10.13155/36230 https://doi.org/10.13155/43494,GL_TS_DB_1301529,netCDF-4 classic model,2.0,CF-1.11 Copernicus-InSituTAC-FormatManual-2.0.0 Copernicus-InSituTAC-ParametersList-3.3.0 Copernicus-InSituTAC-AttributesList-1.0.0,2025-04-08 08:14:07,2025-04-08T08:14:07Z : Creation,cmems-service@ifremer.fr,Copernicus Marine Service,https://marine.copernicus.eu/ http://www.marineinsitu.eu/,Ifremer,6
2017-05-02 10:00:00,14.762999534606934,-17.476999282836914,1301529,0.0,1,4,1049775577,23.739999771118164,4,1301529,Drifting Buoy,1301529,,IRIDIUM,2017-03-16 00:00:00,2017-04-02 00:00:00,2017-04-02 00:00:00,drifting surface float,42,Scripps Institution of Oceanography,1390,United States,,Copernicus Marine In Situ,Global Ocean - In Situ Observation Copernicus,,R,,Global Ocean,14.3588,15.1236,-18.302,-17.322,0.0,0.0,2017-03-15 11:45:00,2017-07-28 08:00:00,trajectory,trajectory,,2017-05-01 09:00:00,14.8176,-17.4946,http://marine.copernicus.eu http://www.marineinsitu.eu,https://marine.copernicus.eu/user-corner/service-commitments-and-licence,P1M,These data were collated within the Copernicus Marine Service (In Situ) and EMODnet collaboration framework. Data is made freely available by the Copernicus Marine Service and the programs that contribute to it.,https://doi.org/10.13155/59938 https://doi.org/10.13155/40846 https://doi.org/10.13155/53381 https://doi.org/10.13155/36230 https://doi.org/10.13155/43494,GL_TS_DB_1301529,netCDF-4 classic model,2.0,CF-1.11 Copernicus-InSituTAC-FormatManual-2.0.0 Copernicus-InSituTAC-ParametersList-3.3.0 Copernicus-InSituTAC-AttributesList-1.0.0,2025-04-08 08:14:07,2025-04-08T08:14:07Z : Creation,cmems-service@ifremer.fr,Copernicus Marine Service,https://marine.copernicus.eu/ http://www.marineinsitu.eu/,Ifremer,7
2017-05-02 11:00:00,14.76259994506836,-17.476200103759766,1301529,0.0,1,4,1049797204,24.760000228881836,4,1301529,Drifting Buoy,1301529,,IRIDIUM,2017-03-16 00:00:00,2017-04-02 00:00:00,2017-04-02 00:00:00,drifting surface float,42,Scripps Institution of Oceanography,1390,United States,,Copernicus Marine In Situ,Global Ocean - In Situ Observation Copernicus,,R,,Global Ocean,14.3588,15.1236,-18.302,-17.322,0.0,0.0,2017-03-15 11:45:00,2017-07-28 08:00:00,trajectory,trajectory,,2017-05-01 09:00:00,14.8176,-17.4946,http://marine.copernicus.eu http://www.marineinsitu.eu,https://marine.copernicus.eu/user-corner/service-commitments-and-licence,P1M,These data were collated within the Copernicus Marine Service (In Situ) and EMODnet collaboration framework. Data is made freely available by the Copernicus Marine Service and the programs that contribute to it.,https://doi.org/10.13155/59938 https://doi.org/10.13155/40846 https://doi.org/10.13155/53381 https://doi.org/10.13155/36230 https://doi.org/10.13155/43494,GL_TS_DB_1301529,netCDF-4 classic model,2.0,CF-1.11 Copernicus-InSituTAC-FormatManual-2.0.0 Copernicus-InSituTAC-ParametersList-3.3.0 Copernicus-InSituTAC-AttributesList-1.0.0,2025-04-08 08:14:07,2025-04-08T08:14:07Z : Creation,cmems-service@ifremer.fr,Copernicus Marine Service,https://marine.copernicus.eu/ http://www.marineinsitu.eu/,Ifremer,8
2017-05-02 12:00:00,14.762200355529785,-17.47559928894043,1301529,0.0,1,4,1049799027,25.239999771118164,4,1301529,Drifting Buoy,1301529,,IRIDIUM,2017-03-16 00:00:00,2017-04-02 00:00:00,2017-04-02 00:00:00,drifting surface float,42,Scripps Institution of Oceanography,1390,United States,,Copernicus Marine In Situ,Global Ocean - In Situ Observation Copernicus,,R,,Global Ocean,14.3588,15.1236,-18.302,-17.322,0.0,0.0,2017-03-15 11:45:00,2017-07-28 08:00:00,trajectory,trajectory,,2017-05-01 09:00:00,14.8176,-17.4946,http://marine.copernicus.eu http://www.marineinsitu.eu,https://marine.copernicus.eu/user-corner/service-commitments-and-licence,P1M,These data were collated within the Copernicus Marine Service (In Situ) and EMODnet collaboration framework. Data is made freely available by the Copernicus Marine Service and the programs that contribute to it.,https://doi.org/10.13155/59938 https://doi.org/10.13155/40846 https://doi.org/10.13155/53381 https://doi.org/10.13155/36230 https://doi.org/10.13155/43494,GL_TS_DB_1301529,netCDF-4 classic model,2.0,CF-1.11 Copernicus-InSituTAC-FormatManual-2.0.0 Copernicus-InSituTAC-ParametersList-3.3.0 Copernicus-InSituTAC-AttributesList-1.0.0,2025-04-08 08:14:07,2025-04-08T08:14:07Z : Creation,cmems-service@ifremer.fr,Copernicus Marine Service,https://marine.copernicus.eu/ http://www.marineinsitu.eu/,Ifremer,9
