observation_id|report_id|data_policy_licence|date_time|date_time_meaning|observation_duration|longitude|latitude|crs|z_coordinate|z_coordinate_type|observation_height_above_station_surface|observed_variable|secondary_variable|observation_value|value_significance|secondary_value|units|code_table|conversion_flag|location_method|location_precision|z_coordinate_method|bbox_min_longitude|bbox_max_longitude|bbox_min_latitude|bbox_max_latitude|spatial_representativeness|quality_flag|numerical_precision|sensor_id|sensor_automation_status|exposure_of_sensor|original_precision|original_units|original_code_table|original_value|conversion_method|processing_code|processing_level|adjustment_id|traceability|advanced_qc|advanced_uncertainty|advanced_homogenisation|source_id
05JHAP-AT|05JHAP|0|null|2|8|-41.50|42.50|0|null|0|null|85|null|287.05|2|null|5|null|0|null|14|null|null|null|null|null|3|2|null|null|5|3|null|60|null|13.9|1|null|3|null|2|0|0|0|091-201-1899-1
05JHAS-AT|05JHAS|0|null|2|8|11.50|36.50|0|null|0|null|85|null|288.25|2|null|5|null|0|null|142|null|null|null|null|null|3|2|null|null|5|3|null|60|null|15.1|1|null|3|null|2|0|0|0|001-193-1899-1
05JHAT-AT|05JHAT|0|null|2|8|18.50|36.50|0|null|0|null|85|null|288.35|2|null|5|null|0|null|142|null|null|null|null|null|3|2|null|null|5|3|null|60|null|15.2|1|null|3|null|2|0|0|0|001-193-1899-1
05JHAR-AT|05JHAR|0|null|2|8|-41.00|30.00|0|null|0|null|85|null|293.55|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|20.4|1|null|3|null|2|0|0|0|004-156-1899-1
05JHAU-AT|05JHAU|0|null|2|8|72.50|1.50|0|null|0|null|85|null|299.65|2|null|5|null|0|null|157|null|null|null|null|null|3|2|null|null|5|3|null|60|null|26.5|1|null|3|null|2|0|0|0|001-193-1899-1
05JHAV-AT|05JHAV|0|null|2|8|10.00|-28.00|0|null|0|null|85|null|292.35|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|19.2|1|null|3|null|2|0|0|0|004-156-1899-1
05JHAW-AT|05JHAW|0|null|2|8|77.50|-39.50|0|null|0|null|85|null|286.55|2|null|5|null|0|null|140|null|null|null|null|null|3|2|null|null|5|3|null|60|null|13.4|1|null|3|null|2|0|0|0|001-192-1899-1
05JHAX-AT|05JHAX|0|null|2|8|-45.00|-46.00|0|null|0|null|85|null|285.05|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|11.9|1|null|3|null|2|0|0|0|004-156-1899-1
05JHB0-AT|05JHB0|0|null|2|8|-6.50|55.50|0|null|0|null|85|null|281.45|2|null|5|null|0|null|13|null|null|null|null|null|3|2|null|null|5|3|null|60|null|8.3|1|null|3|null|2|0|0|0|091-201-1899-1
05JHB6-AT|05JHB6|0|null|2|8|-9.00|48.00|0|null|0|null|85|null|282.95|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|9.8|1|null|3|null|2|0|0|0|004-156-1899-1
05JHB7-AT|05JHB7|0|null|2|8|-8.00|48.00|0|null|0|null|85|null|283.65|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|10.5|1|null|3|null|2|0|0|0|004-156-1899-1
05JHB8-AT|05JHB8|0|null|2|8|-4.00|45.00|0|null|0|null|85|null|284.15|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|11.0|1|null|3|null|2|0|0|0|004-156-1899-1
05JHB4-AT|05JHB4|0|null|2|8|-63.50|41.50|0|null|0|null|85|null|268.25|2|null|5|null|0|null|139|null|null|null|null|null|3|2|null|null|5|3|null|60|null|-4.9|1|null|3|null|2|0|0|0|001-193-1899-1
