observation_id|report_id|data_policy_licence|date_time|date_time_meaning|observation_duration|longitude|latitude|crs|z_coordinate|z_coordinate_type|observation_height_above_station_surface|observed_variable|secondary_variable|observation_value|value_significance|secondary_value|units|code_table|conversion_flag|location_method|location_precision|z_coordinate_method|bbox_min_longitude|bbox_max_longitude|bbox_min_latitude|bbox_max_latitude|spatial_representativeness|quality_flag|numerical_precision|sensor_id|sensor_automation_status|exposure_of_sensor|original_precision|original_units|original_code_table|original_value|conversion_method|processing_code|processing_level|adjustment_id|traceability|advanced_qc|advanced_uncertainty|advanced_homogenisation|source_id
05JHAS-SLP|05JHAS|0|null|2|8|11.50|36.50|0|null|0|null|58|null|101130|2|null|32|null|0|null|142|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1011.3|7|null|3|null|2|0|0|0|001-193-1899-1
05JHAT-SLP|05JHAT|0|null|2|8|18.50|36.50|0|null|0|null|58|null|100970|2|null|32|null|0|null|142|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1009.7|7|null|3|null|2|0|0|0|001-193-1899-1
05JHAR-SLP|05JHAR|0|null|2|8|-41.00|30.00|0|null|0|null|58|null|102930|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1029.3|7|null|3|null|2|0|0|0|004-156-1899-1
05JHAU-SLP|05JHAU|0|null|2|8|72.50|1.50|0|null|0|null|58|null|100870|2|null|32|null|0|null|157|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1008.7|7|null|3|null|2|0|0|0|001-193-1899-1
05JHAW-SLP|05JHAW|0|null|2|8|77.50|-39.50|0|null|0|null|58|null|101170|2|null|32|null|0|null|140|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1011.7|7|null|3|null|2|0|0|0|001-192-1899-1
05JHAX-SLP|05JHAX|0|null|2|8|-45.00|-46.00|0|null|0|null|58|null|100340|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1003.4|7|null|3|null|2|0|0|0|004-156-1899-1
05JHAY-SLP|05JHAY|0|null|2|8|-86.93|-70.22|0|null|0|null|58|null|98830|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|988.3|7|null|3|null|2|0|0|0|127-246-1899-1
05JHB6-SLP|05JHB6|0|null|2|8|-9.00|48.00|0|null|0|null|58|null|101860|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1018.6|7|null|3|null|2|0|0|0|004-156-1899-1
05JHB8-SLP|05JHB8|0|null|2|8|-4.00|45.00|0|null|0|null|58|null|100840|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1008.4|7|null|3|null|2|0|0|0|004-156-1899-1
05JHB4-SLP|05JHB4|0|null|2|8|-63.50|41.50|0|null|0|null|58|null|104100|2|null|32|null|0|null|139|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1041.0|7|null|3|null|2|0|0|0|001-193-1899-1
05JHB5-SLP|05JHB5|0|null|2|8|-62.50|41.50|0|null|0|null|58|null|104410|2|null|32|null|0|null|139|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1044.1|7|null|3|null|2|0|0|0|001-193-1899-1
05JHBB-SLP|05JHBB|0|null|2|8|0.50|38.50|0|null|0|null|58|null|101370|2|null|32|null|0|null|141|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1013.7|7|null|3|null|2|0|0|0|001-193-1899-1
05JHB9-SLP|05JHB9|0|null|2|8|-69.00|37.00|0|null|0|null|58|null|104970|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1049.7|7|null|3|null|2|0|0|0|004-156-1899-1
05JHBE-SLP|05JHBE|0|null|2|8|-63.00|19.00|0|null|0|null|58|null|101950|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1019.5|7|null|3|null|2|0|0|0|004-156-1899-1
05JHBD-SLP|05JHBD|0|null|2|8|55.50|11.50|0|null|0|null|58|null|101410|2|null|32|null|0|null|155|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1014.1|7|null|3|null|2|0|0|0|001-193-1899-1
05JHBH-SLP|05JHBH|0|null|2|8|-6.50|-14.50|0|null|0|null|58|null|101600|2|null|32|null|0|null|154|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1016.0|7|null|3|null|2|0|0|0|001-193-1899-1
05JHBI-SLP|05JHBI|0|null|2|8|-1.00|-19.00|0|null|0|null|58|null|101750|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1017.5|7|null|3|null|2|0|0|0|004-156-1899-1
05JHBJ-SLP|05JHBJ|0|null|2|8|56.50|-26.50|0|null|0|null|58|null|101100|2|null|32|null|0|null|149|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1011.0|7|null|3|null|2|0|0|0|001-193-1899-1
05JHBM-SLP|05JHBM|0|null|2|8|-51.00|-35.00|0|null|0|null|58|null|100950|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1009.5|7|null|3|null|2|0|0|0|004-156-1899-1
05JHBL-SLP|05JHBL|0|null|2|8|-55.00|-39.00|0|null|0|null|58|null|100300|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1003.0|7|null|3|null|2|0|0|0|004-156-1899-1
05JHBQ-SLP|05JHBQ|0|null|2|8|8.00|-40.00|0|null|0|null|58|null|101310|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1013.1|7|null|3|null|2|0|0|0|004-156-1899-1
05JHBN-SLP|05JHBN|0|null|2|8|-58.00|-41.00|0|null|0|null|58|null|100610|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1006.1|7|null|3|null|2|0|0|0|004-156-1899-1
05JHBO-SLP|05JHBO|0|null|2|8|-56.00|-42.00|0|null|0|null|58|null|100570|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1005.7|7|null|3|null|2|0|0|0|004-156-1899-1
05JHBP-SLP|05JHBP|0|null|2|8|8.00|-43.00|0|null|0|null|58|null|100510|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1005.1|7|null|3|null|2|0|0|0|004-156-1899-1
05JHBU-SLP|05JHBU|0|null|2|8|-60.00|-55.00|0|null|0|null|58|null|100120|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1001.2|7|null|3|null|2|0|0|0|004-156-1899-1
05JHBT-SLP|05JHBT|0|null|2|8|-66.00|-56.00|0|null|0|null|58|null|99710|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|997.1|7|null|3|null|2|0|0|0|004-156-1899-1
CZR8BQ-SLP|CZR8BQ|0|null|2|8|160.05|-63.67|0|null|0|null|58|null|100110|2|null|32|null|0|null|2|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1001.1|7|null|3|null|2|0|0|0|167-246-1899-1
05JHBW-SLP|05JHBW|0|null|2|8|-86.93|-70.22|0|null|0|null|58|null|98820|2|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|988.2|7|null|3|null|2|0|0|0|127-246-1899-1
05JHBX-SLP|05JHBX|0|null|2|8|-22.50|50.50|0|null|0|null|58|null|100540|2|null|32|null|0|null|132|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1005.4|7|null|3|null|2|0|0|0|001-193-1899-1
05JHBZ-SLP|05JHBZ|0|null|2|8|-21.50|48.50|0|null|0|null|58|null|101170|2|null|32|null|0|null|133|null|null|null|null|null|3|2|null|null|5|3|null|530|null|1011.7|7|null|3|null|2|0|0|0|001-193-1899-1
