observation_id|report_id|data_policy_licence|date_time|date_time_meaning|observation_duration|longitude|latitude|crs|z_coordinate|z_coordinate_type|observation_height_above_station_surface|observed_variable|secondary_variable|observation_value|value_significance|secondary_value|units|code_table|conversion_flag|location_method|location_precision|z_coordinate_method|bbox_min_longitude|bbox_max_longitude|bbox_min_latitude|bbox_max_latitude|spatial_representativeness|quality_flag|numerical_precision|sensor_id|sensor_automation_status|exposure_of_sensor|original_precision|original_units|original_code_table|original_value|conversion_method|processing_code|processing_level|adjustment_id|traceability|advanced_qc|advanced_uncertainty|advanced_homogenisation|source_id
ICOADS-300-05JHAP-SST|ICOADS-300-05JHAP|0|1899-01-02 23:00:00|2|8|-41.50|42.50|0|null|0|null|95|null|289.85|2|null|5|null|0|null|14|null|null|null|null|null|3|2|null|null|5|3|null|60|null|16.7|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-091-201-1899-01
ICOADS-300-05JHAS-SST|ICOADS-300-05JHAS|0|1899-01-02 23:00:00|2|8|11.50|36.50|0|null|0|null|95|null|288.65|2|null|5|null|0|null|142|null|null|null|null|null|3|2|null|null|5|3|null|60|null|15.5|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-001-193-1899-01
ICOADS-300-05JHAT-SST|ICOADS-300-05JHAT|0|1899-01-02 23:00:00|2|8|18.50|36.50|0|null|0|null|95|null|289.55|2|null|5|null|0|null|142|null|null|null|null|null|3|2|null|null|5|3|null|60|null|16.4|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-001-193-1899-01
ICOADS-300-05JHAR-SST|ICOADS-300-05JHAR|0|1899-01-02 23:00:00|2|8|-41.00|30.00|0|null|0|null|95|null|293.65|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|20.5|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-004-156-1899-01
ICOADS-300-05JHAU-SST|ICOADS-300-05JHAU|0|1899-01-02 23:00:00|2|8|72.50|1.50|0|null|0|null|95|null|299.15|2|null|5|null|0|null|157|null|null|null|null|null|3|2|null|null|5|3|null|60|null|26.0|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-001-193-1899-01
ICOADS-300-05JHAV-SST|ICOADS-300-05JHAV|0|1899-01-02 23:00:00|2|8|10.00|-28.00|0|null|0|null|95|null|292.15|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|19.0|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-004-156-1899-01
ICOADS-300-05JHAW-SST|ICOADS-300-05JHAW|0|1899-01-02 23:00:00|2|8|77.50|-39.50|0|null|0|null|95|null|287.15|2|null|5|null|0|null|140|null|null|null|null|null|3|2|null|null|5|3|null|60|null|14.0|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-001-192-1899-01
ICOADS-300-05JHAX-SST|ICOADS-300-05JHAX|0|1899-01-02 23:00:00|2|8|-45.00|-46.00|0|null|0|null|95|null|283.35|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|10.2|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-004-156-1899-01
ICOADS-300-05JHB0-SST|ICOADS-300-05JHB0|0|1899-01-03 00:00:00|2|8|-6.50|55.50|0|null|0|null|95|null|281.45|2|null|5|null|0|null|13|null|null|null|null|null|3|2|null|null|5|3|null|60|null|8.3|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-091-201-1899-01
ICOADS-300-05JHB3-SST|ICOADS-300-05JHB3|0|1899-01-03 00:00:00|2|8|-123.50|48.50|0|null|0|null|95|null|274.85|2|null|5|null|0|null|13|null|null|null|null|null|3|2|null|null|5|3|null|60|null|1.7|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-091-201-1899-01
ICOADS-300-05JHB6-SST|ICOADS-300-05JHB6|0|1899-01-03 00:00:00|2|8|-9.00|48.00|0|null|0|null|95|null|282.85|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|9.7|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-004-156-1899-01
ICOADS-300-05JHB7-SST|ICOADS-300-05JHB7|0|1899-01-03 00:00:00|2|8|-8.00|48.00|0|null|0|null|95|null|284.15|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|11.0|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-004-156-1899-01
ICOADS-300-05JHB8-SST|ICOADS-300-05JHB8|0|1899-01-03 00:00:00|2|8|-4.00|45.00|0|null|0|null|95|null|285.15|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|12.0|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-004-156-1899-01
ICOADS-300-05JHB4-SST|ICOADS-300-05JHB4|0|1899-01-03 00:00:00|2|8|-63.50|41.50|0|null|0|null|95|null|275.05|2|null|5|null|0|null|139|null|null|null|null|null|3|2|null|null|5|3|null|60|null|1.9|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-001-193-1899-01
ICOADS-300-05JHB5-SST|ICOADS-300-05JHB5|0|1899-01-03 00:00:00|2|8|-62.50|41.50|0|null|0|null|95|null|285.55|2|null|5|null|0|null|139|null|null|null|null|null|3|2|null|null|5|3|null|60|null|12.4|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-001-193-1899-01
ICOADS-300-05JHBB-SST|ICOADS-300-05JHBB|0|1899-01-03 00:00:00|2|8|0.50|38.50|0|null|0|null|95|null|288.15|2|null|5|null|0|null|141|null|null|null|null|null|3|2|null|null|5|3|null|60|null|15.0|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-001-193-1899-01
ICOADS-300-05JHB9-SST|ICOADS-300-05JHB9|0|1899-01-03 00:00:00|2|8|-69.00|37.00|0|null|0|null|95|null|292.65|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|19.5|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-004-156-1899-01
ICOADS-300-05JHBA-SST|ICOADS-300-05JHBA|0|1899-01-03 00:00:00|2|8|-54.50|35.50|0|null|0|null|95|null|292.55|2|null|5|null|0|null|14|null|null|null|null|null|3|2|null|null|5|3|null|60|null|19.4|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-091-201-1899-01
ICOADS-300-05JHBC-SST|ICOADS-300-05JHBC|0|1899-01-03 00:00:00|2|8|-56.50|24.50|0|null|0|null|95|null|297.45|2|null|5|null|0|null|150|null|null|null|null|null|3|2|null|null|5|3|null|60|null|24.3|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-001-192-1899-01
ICOADS-300-05JHBE-SST|ICOADS-300-05JHBE|0|1899-01-03 00:00:00|2|8|-63.00|19.00|0|null|0|null|95|null|298.65|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|25.5|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-004-156-1899-01
ICOADS-300-05JHBD-SST|ICOADS-300-05JHBD|0|1899-01-03 00:00:00|2|8|55.50|11.50|0|null|0|null|95|null|296.95|2|null|5|null|0|null|155|null|null|null|null|null|3|2|null|null|5|3|null|60|null|23.8|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-001-193-1899-01
ICOADS-300-05JHBG-SST|ICOADS-300-05JHBG|0|1899-01-03 00:00:00|2|8|124.50|-8.50|0|null|0|null|95|null|300.35|2|null|5|null|0|null|16|null|null|null|null|null|3|2|null|null|5|3|null|60|null|27.2|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-091-201-1899-01
ICOADS-300-05JHBH-SST|ICOADS-300-05JHBH|0|1899-01-03 00:00:00|2|8|-6.50|-14.50|0|null|0|null|95|null|295.15|2|null|5|null|0|null|154|null|null|null|null|null|3|2|null|null|5|3|null|60|null|22.0|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-001-193-1899-01
ICOADS-300-05JHBI-SST|ICOADS-300-05JHBI|0|1899-01-03 00:00:00|2|8|-1.00|-19.00|0|null|0|null|95|null|293.95|2|null|5|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|60|null|20.8|1|null|3|null|2|0|0|0|ICOADS-3-0-0T-004-156-1899-01
