observation_id|report_id|data_policy_licence|date_time|date_time_meaning|observation_duration|longitude|latitude|crs|z_coordinate|z_coordinate_type|observation_height_above_station_surface|observed_variable|secondary_variable|observation_value|value_significance|secondary_value|units|code_table|conversion_flag|location_method|location_precision|z_coordinate_method|bbox_min_longitude|bbox_max_longitude|bbox_min_latitude|bbox_max_latitude|spatial_representativeness|quality_flag|numerical_precision|sensor_id|sensor_automation_status|exposure_of_sensor|original_precision|original_units|original_code_table|original_value|conversion_method|processing_code|processing_level|adjustment_id|traceability|advanced_qc|advanced_uncertainty|advanced_homogenisation|source_id
05JHAP-WD|05JHAP|0|null|2|8|-41.50|42.50|0|null|0|null|106|null|293|2|null|320|null|2|null|14|null|null|null|null|null|3|2|null|null|5|3|null|320|null|293|null|null|3|null|2|0|0|0|091-201-1899-1
05JHAS-WD|05JHAS|0|null|2|8|11.50|36.50|0|null|0|null|106|null|248|2|null|320|null|2|null|142|null|null|null|null|null|3|2|null|null|5|3|null|320|null|248|null|null|3|null|2|0|0|0|001-193-1899-1
05JHAT-WD|05JHAT|0|null|2|8|18.50|36.50|0|null|0|null|106|null|270|2|null|320|null|2|null|142|null|null|null|null|null|3|2|null|null|5|3|null|320|null|270|null|null|3|null|2|0|0|0|001-193-1899-1
05JHAR-WD|05JHAR|0|null|2|8|-41.00|30.00|0|null|0|null|106|null|90|2|null|320|null|2|null|null|null|null|null|null|null|3|2|null|null|5|3|null|320|null|90|null|null|3|null|2|0|0|0|004-156-1899-1
05JHAU-WD|05JHAU|0|null|2|8|72.50|1.50|0|null|0|null|106|null|135|2|null|320|null|2|null|157|null|null|null|null|null|3|2|null|null|5|3|null|320|null|135|null|null|3|null|2|0|0|0|001-193-1899-1
05JHAV-WD|05JHAV|0|null|2|8|10.00|-28.00|0|null|0|null|106|null|157|2|null|320|null|2|null|null|null|null|null|null|null|3|2|null|null|5|3|null|320|null|157|null|null|3|null|2|0|0|0|004-156-1899-1
05JHAW-WD|05JHAW|0|null|2|8|77.50|-39.50|0|null|0|null|106|null|270|2|null|320|null|2|null|140|null|null|null|null|null|3|2|null|null|5|3|null|320|null|270|null|null|3|null|2|0|0|0|001-192-1899-1
05JHAX-WD|05JHAX|0|null|2|8|-45.00|-46.00|0|null|0|null|106|null|292|2|null|320|null|2|null|null|null|null|null|null|null|3|2|null|null|5|3|null|320|null|292|null|null|3|null|2|0|0|0|004-156-1899-1
05JHB0-WD|05JHB0|0|null|2|8|-6.50|55.50|0|null|0|null|106|null|293|2|null|320|null|2|null|13|null|null|null|null|null|3|2|null|null|5|3|null|320|null|293|null|null|3|null|2|0|0|0|091-201-1899-1
05JHB1-WD|05JHB1|0|null|2|8|0.50|50.50|0|null|0|null|106|null|270|2|null|320|null|2|null|132|null|null|null|null|null|3|2|null|null|5|3|null|320|null|270|null|null|3|null|2|0|0|0|001-193-1899-1
