observation_id|report_id|data_policy_licence|date_time|date_time_meaning|observation_duration|longitude|latitude|crs|z_coordinate|z_coordinate_type|observation_height_above_station_surface|observed_variable|secondary_variable|observation_value|value_significance|secondary_value|units|code_table|conversion_flag|location_method|location_precision|z_coordinate_method|bbox_min_longitude|bbox_max_longitude|bbox_min_latitude|bbox_max_latitude|spatial_representativeness|quality_flag|numerical_precision|sensor_id|sensor_automation_status|exposure_of_sensor|original_precision|original_units|original_code_table|original_value|conversion_method|processing_code|processing_level|adjustment_id|traceability|advanced_qc|advanced_uncertainty|advanced_homogenisation|source_id
05JHAP-WS|05JHAP|0|null|2|8|-41.50|42.50|0|null|0|null|107|null|12.3|2|null|731|null|2|null|14|null|null|null|null|null|3|2|null|null|5|3|null|731|null|12.3|null|null|3|null|2|0|0|0|091-201-1899-1
05JHAS-WS|05JHAS|0|null|2|8|11.50|36.50|0|null|0|null|107|null|12.3|2|null|731|null|2|null|142|null|null|null|null|null|3|2|null|null|5|3|null|731|null|12.3|null|null|3|null|2|0|0|0|001-193-1899-1
05JHAT-WS|05JHAT|0|null|2|8|18.50|36.50|0|null|0|null|107|null|4.6|2|null|731|null|2|null|142|null|null|null|null|null|3|2|null|null|5|3|null|731|null|4.6|null|null|3|null|2|0|0|0|001-193-1899-1
05JHAR-WS|05JHAR|0|null|2|8|-41.00|30.00|0|null|0|null|107|null|2.6|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|5|3|null|731|null|2.6|null|null|3|null|2|0|0|0|004-156-1899-1
05JHAU-WS|05JHAU|0|null|2|8|72.50|1.50|0|null|0|null|107|null|1.0|2|null|731|null|2|null|157|null|null|null|null|null|3|2|null|null|5|3|null|731|null|1.0|null|null|3|null|2|0|0|0|001-193-1899-1
05JHAV-WS|05JHAV|0|null|2|8|10.00|-28.00|0|null|0|null|107|null|4.6|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|5|3|null|731|null|4.6|null|null|3|null|2|0|0|0|004-156-1899-1
05JHAW-WS|05JHAW|0|null|2|8|77.50|-39.50|0|null|0|null|107|null|6.7|2|null|731|null|2|null|140|null|null|null|null|null|3|2|null|null|5|3|null|731|null|6.7|null|null|3|null|2|0|0|0|001-192-1899-1
05JHAX-WS|05JHAX|0|null|2|8|-45.00|-46.00|0|null|0|null|107|null|2.6|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|5|3|null|731|null|2.6|null|null|3|null|2|0|0|0|004-156-1899-1
05JHB0-WS|05JHB0|0|null|2|8|-6.50|55.50|0|null|0|null|107|null|4.6|2|null|731|null|2|null|13|null|null|null|null|null|3|2|null|null|5|3|null|731|null|4.6|null|null|3|null|2|0|0|0|091-201-1899-1
05JHB1-WS|05JHB1|0|null|2|8|0.50|50.50|0|null|0|null|107|null|26.8|2|null|731|null|2|null|132|null|null|null|null|null|3|2|null|null|5|3|null|731|null|26.8|null|null|3|null|2|0|0|0|001-193-1899-1
05JHB3-WS|05JHB3|0|null|2|8|-123.50|48.50|0|null|0|null|107|null|1.0|2|null|731|null|2|null|13|null|null|null|null|null|3|2|null|null|5|3|null|731|null|1.0|null|null|3|null|2|0|0|0|091-201-1899-1
05JHB6-WS|05JHB6|0|null|2|8|-9.00|48.00|0|null|0|null|107|null|15.4|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|5|3|null|731|null|15.4|null|null|3|null|2|0|0|0|004-156-1899-1
05JHB7-WS|05JHB7|0|null|2|8|-8.00|48.00|0|null|0|null|107|null|15.4|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|5|3|null|731|null|15.4|null|null|3|null|2|0|0|0|004-156-1899-1
05JHB8-WS|05JHB8|0|null|2|8|-4.00|45.00|0|null|0|null|107|null|19.0|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|5|3|null|731|null|19.0|null|null|3|null|2|0|0|0|004-156-1899-1
05JHB4-WS|05JHB4|0|null|2|8|-63.50|41.50|0|null|0|null|107|null|12.3|2|null|731|null|2|null|139|null|null|null|null|null|3|2|null|null|5|3|null|731|null|12.3|null|null|3|null|2|0|0|0|001-193-1899-1
05JHB5-WS|05JHB5|0|null|2|8|-62.50|41.50|0|null|0|null|107|null|6.7|2|null|731|null|2|null|139|null|null|null|null|null|3|2|null|null|5|3|null|731|null|6.7|null|null|3|null|2|0|0|0|001-193-1899-1
05JHBB-WS|05JHBB|0|null|2|8|0.50|38.50|0|null|0|null|107|null|6.7|2|null|731|null|2|null|141|null|null|null|null|null|3|2|null|null|5|3|null|731|null|6.7|null|null|3|null|2|0|0|0|001-193-1899-1
05JHB9-WS|05JHB9|0|null|2|8|-69.00|37.00|0|null|0|null|107|null|6.7|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|5|3|null|731|null|6.7|null|null|3|null|2|0|0|0|004-156-1899-1
05JHBA-WS|05JHBA|0|null|2|8|-54.50|35.50|0|null|0|null|107|null|4.6|2|null|731|null|2|null|14|null|null|null|null|null|3|2|null|null|5|3|null|731|null|4.6|null|null|3|null|2|0|0|0|091-201-1899-1
05JHBC-WS|05JHBC|0|null|2|8|-56.50|24.50|0|null|0|null|107|null|6.7|2|null|731|null|2|null|150|null|null|null|null|null|3|2|null|null|5|3|null|731|null|6.7|null|null|3|null|2|0|0|0|001-192-1899-1
05JHBE-WS|05JHBE|0|null|2|8|-63.00|19.00|0|null|0|null|107|null|4.6|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|5|3|null|731|null|4.6|null|null|3|null|2|0|0|0|004-156-1899-1
05JHBD-WS|05JHBD|0|null|2|8|55.50|11.50|0|null|0|null|107|null|6.7|2|null|731|null|2|null|155|null|null|null|null|null|3|2|null|null|5|3|null|731|null|6.7|null|null|3|null|2|0|0|0|001-193-1899-1
05JHBG-WS|05JHBG|0|null|2|8|124.50|-8.50|0|null|0|null|107|null|0.0|2|null|731|null|2|null|16|null|null|null|null|null|3|2|null|null|5|3|null|731|null|0.0|null|null|3|null|2|0|0|0|091-201-1899-1
05JHBH-WS|05JHBH|0|null|2|8|-6.50|-14.50|0|null|0|null|107|null|2.6|2|null|731|null|2|null|154|null|null|null|null|null|3|2|null|null|5|3|null|731|null|2.6|null|null|3|null|2|0|0|0|001-193-1899-1
05JHBI-WS|05JHBI|0|null|2|8|-1.00|-19.00|0|null|0|null|107|null|4.6|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|5|3|null|731|null|4.6|null|null|3|null|2|0|0|0|004-156-1899-1
