core:YR,core:MO,core:DY,core:HR,core:LAT,core:LON,core:IM,core:ATTC,core:TI,core:LI,core:DS,core:VS,core:NID,core:II,core:ID,core:C1,core:DI,core:D,core:WI,core:W,core:VI,core:VV,core:WW,core:W1,core:SLP,core:A,core:PPP,core:IT,core:AT,core:WBTI,core:WBT,core:DPTI,core:DPT,core:SI,core:SST,core:N,core:NH,core:CL,core:HI,core:H,core:CM,core:CH,core:WD,core:WP,core:WH,core:SD,core:SP,core:SH,c1:ATTI,c1:ATTL,c1:BSI,c1:B10,c1:B1,c1:DCK,c1:SID,c1:PT,c1:DUPS,c1:DUPC,c1:TC,c1:PB,c1:WX,c1:SX,c1:C2,c1:SQZ,c1:SQA,c1:AQZ,c1:AQA,c1:UQZ,c1:UQA,c1:VQZ,c1:VQA,c1:PQZ,c1:PQA,c1:DQZ,c1:DQA,c1:ND,c1:SF,c1:AF,c1:UF,c1:VF,c1:PF,c1:RF,c1:ZNC,c1:WNC,c1:BNC,c1:XNC,c1:YNC,c1:PNC,c1:ANC,c1:GNC,c1:DNC,c1:SNC,c1:CNC,c1:ENC,c1:FNC,c1:TNC,c1:QCE,c1:LZ,c1:QCZ,c5:OS,c5:OP,c5:FM,c5:IMMV,c5:IX,c5:W2,c5:WMI,c5:SD2,c5:SP2,c5:SH2,c5:IS,c5:ES,c5:RS,c5:IC1,c5:IC2,c5:IC3,c5:IC4,c5:IC5,c5:IR,c5:RRR,c5:TR,c5:NU,c5:QCI,c5:QI1,c5:QI2,c5:QI3,c5:QI4,c5:QI5,c5:QI6,c5:QI7,c5:QI8,c5:QI9,c5:QI10,c5:QI11,c5:QI12,c5:QI13,c5:QI14,c5:QI15,c5:QI16,c5:QI17,c5:QI18,c5:QI19,c5:QI20,c5:QI21,c5:HDG,c5:COG,c5:SOG,c5:SLL,c5:SLHH,c5:RWD,c5:RWS,c5:QI22,c5:QI23,c5:QI24,c5:QI25,c5:QI26,c5:QI27,c5:QI28,c5:QI29,c5:RH,c5:RHI,c5:AWSI,c5:IMONO,c6:CCCC,c6:BUID,c6:FBSRC,c6:BMP,c6:BSWU,c6:SWU,c6:BSWV,c6:SWV,c6:BSAT,c6:BSRH,c6:SRH,c6:BSST,c6:MST,c6:BMSH,c6:BY,c6:BM,c6:BD,c6:BH,c6:BFL,c7:MDS,c7:C1M,c7:OPM,c7:KOV,c7:COR,c7:TOB,c7:TOT,c7:EOT,c7:LOT,c7:TOH,c7:EOH,c7:SIM,c7:LOV,c7:DOS,c7:HOP,c7:HOT,c7:HOB,c7:HOA,c7:SMF,c7:SME,c7:SMV,c8:OTV,c8:OTZ,c8:OSV,c8:OSZ,c8:OOV,c8:OOZ,c8:OPV,c8:OPZ,c8:OSIV,c8:OSIZ,c8:ONV,c8:ONZ,c8:OPHV,c8:OPHZ,c8:OCV,c8:OCZ,c8:OAV,c8:OAZ,c8:OPCV,c8:OPCZ,c8:ODV,c8:ODZ,c8:PUID,c9:CCe,c9:WWe,c9:Ne,c9:NHe,c9:He,c9:CLe,c9:CMe,c9:CHe,c9:AM,c9:AH,c9:UM,c9:UH,c9:SBI,c9:SA,c9:RI,c95:ICNR,c95:FNR,c95:DPRO,c95:DPRP,c95:UFR,c95:MFGR,c95:MFGSR,c95:MAR,c95:MASR,c95:BCR,c95:ARCR,c95:CDR,c95:ASIR,c96:ICNI,c96:FNI,c96:JVAD,c96:VAD,c96:IVAU1,c96:JVAU1,c96:VAU1,c96:IVAU2,c96:JVAU2,c96:VAU2,c96:IVAU3,c96:JVAU3,c96:VAU3,c96:VQC,c96:ARCI,c96:CDI,c96:ASII,c97:ICNE,c97:FNE,c97:CEF,c97:ERRD,c97:ARCE,c97:CDE,c97:ASIE,c98:ATTI,c98:ATTL,c98:UID,c98:RN1,c98:RN2,c98:RN3,c98:RSA,c98:IRF,c99
1899,1,2,23.0,42.5,318.5,1,3,0,0,,,,9,10358,03,1,293,5,12.3,,97,18,,,,,,13.9,,,,,0,16.7,8,,,,,4,4,,,,,,,1,65,,173,21,201,91,5,1,2,,,,,,18,3,,,,,,,,,,,1,1,1,1,1,15,15,1,1,1,1,10,10,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHAP,3,0,0,2,1,99 0  J  %  1035811035899011491025  21  2606     57  00629299       9                          01
1899,1,2,23.0,36.5,11.5,1,3,0,1,,,,,,,3,248,5,12.3,,,,,1011.3000000000001,,,0,15.100000000000001,,,,,,15.5,6,,,,,,,,,,,,,1,65,,215,61,193,1,0,1,2,,1,,,,18,4,,,,,,,,,,,1,1,1,1,1,1,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHAS,3,0,0,2,1,99 0                 1404606591 12875                           1212
1899,1,2,23.0,36.5,18.5,1,3,0,1,,,,,,,3,270,5,4.6000000000000005,,,,,1009.7,,,0,15.200000000000001,,,,,10,16.400000000000002,6,,,,,,,,,,,,,1,65,,215,68,193,1,0,1,2,,1,,,,18,4,,,,,,,,,,,1,1,1,1,1,1,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHAT,3,0,0,2,1,99 0                     603579    82     02                    1213
1899,1,2,23.0,30.0,319.0,1,3,0,2,,,,,,,1,90,6,2.6,,,,,1029.3,,,,20.400000000000002,,,,,10,20.5,0,,,,,,,,,,,,,1,65,,209,1,156,4,,0,,,,,,,18,4,,,,,,,,,,,1,1,1,1,1,1,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHAR,3,0,0,2,1,99 0 025  7
1899,1,2,23.0,1.5,72.5,1,3,0,1,,,,,,,3,135,5,1.0,,,,,1008.7,,,0,26.5,,,,,,26.0,4,,,,,,,,,,,,,1,65,,293,12,193,1,0,1,2,,1,,,,16,9,,,,,,,,,,,1,1,1,1,1,1,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHAU,3,0,0,2,1,99 0                 2618101586    50                           3018
1899,1,2,23.0,-28.0,10.0,1,3,0,2,,,,,,,1,157,6,4.6000000000000005,,,,,,,,,19.200000000000003,,,,,10,19.0,7,,,,,,,,,,,,,1,65,,431,80,156,4,,0,,,,,,,17,7,,,,,,,,,,,1,1,1,1,1,15,15,1,1,10,10,10,10,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHAV,3,0,0,2,1,99 0 046  7
1899,1,2,23.0,-39.5,77.5,1,3,0,1,,,,10,61031846,,3,270,5,6.7,,,,,1011.7,,,0,13.4,,,,,10,14.0,2,,,,,,,,,,,,,1,65,,437,97,192,1,0,2,2,,,,,,18,6,,,,,,,,,,,1,1,1,1,1,1,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHAW,3,0,0,2,1,99 0                 6103184604  588 0 23    284   77  2        3130
1899,1,2,23.0,-46.0,315.0,1,3,0,2,,,,,,,1,292,6,2.6,,,,,1003.4000000000001,,,,11.9,,,,,10,10.200000000000001,8,,,,,,,,,,,,,1,65,,497,65,156,4,,0,,,,,,,18,3,,,,,,,,,,,1,1,1,1,1,1,15,1,1,10,10,10,1,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHAX,3,0,0,2,1,99 0 025  7
1899,1,2,23.2,-70.22,273.07,1,2,0,3,,,3,10,Belgica,,,,,,,,,,988.3000000000001,,,,,,,,,,,,,,,,,,,,,,,,1,65,,601,6,246,127,1,0,,,,,,,,,,,,,,,,,,,2,15,15,15,15,12,15,1,10,10,10,10,1,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHAY,3,0,0,2,1,
1899,1,3,0.0,55.5,353.5,1,3,0,0,,,,9,10333,03,1,293,5,4.6000000000000005,,97,0,,,,,,8.3,,,,,0,8.3,1,,,,,4,4,,,,,,,1,65,,141,56,201,91,5,1,2,,,,,,17,4,,,,,,,,,,,1,1,1,1,1,15,15,1,1,1,1,10,10,1,10,10,1,1,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,15,05JHB0,3,0,0,2,1,99 0  J  %  103331103339901181 036  56  2603     47  00479999       2
