observation_id|report_id|data_policy_licence|date_time|date_time_meaning|observation_duration|longitude|latitude|crs|z_coordinate|z_coordinate_type|observation_height_above_station_surface|observed_variable|secondary_variable|observation_value|value_significance|secondary_value|units|code_table|conversion_flag|location_method|location_precision|z_coordinate_method|bbox_min_longitude|bbox_max_longitude|bbox_min_latitude|bbox_max_latitude|spatial_representativeness|quality_flag|numerical_precision|sensor_id|sensor_automation_status|exposure_of_sensor|original_precision|original_units|original_code_table|original_value|conversion_method|processing_code|processing_level|adjustment_id|traceability|advanced_qc|advanced_uncertainty|advanced_homogenisation|source_id
ICOADS-302-M3PROK-SST|ICOADS-302-M3PROK|0|2016-04-11 00:00:00|2|8|-70.00|-52.70|0|null|0|null|95|null|290.25|2|null|5|null|0|null|13|null|null|null|null|null|3|1|null|null|5|3|null|60|null|17.1|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3PW83-SST|ICOADS-302-M3PW83|0|2016-04-11 01:00:00|2|8|-69.60|-52.50|0|null|0|null|95|null|290.25|2|null|5|null|0|null|13|null|null|null|null|null|3|0|null|null|5|3|null|60|null|17.1|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3Q0Z6-SST|ICOADS-302-M3Q0Z6|0|2016-04-11 02:00:00|2|8|-69.40|-52.40|0|null|0|null|95|null|290.15|2|null|5|null|0|null|13|null|null|null|null|null|3|0|null|null|5|3|null|60|null|17.0|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3Q5PO-SST|ICOADS-302-M3Q5PO|0|2016-04-11 03:00:00|2|8|-69.10|-52.40|0|null|0|null|95|null|290.15|2|null|5|null|0|null|13|null|null|null|null|null|3|0|null|null|5|3|null|60|null|17.0|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3Q9Q6-SST|ICOADS-302-M3Q9Q6|0|2016-04-11 04:00:00|2|8|-68.80|-52.40|0|null|0|null|95|null|290.05|2|null|5|null|0|null|13|null|null|null|null|null|3|1|null|null|5|3|null|60|null|16.9|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3QG6Z-SST|ICOADS-302-M3QG6Z|0|2016-04-11 05:00:00|2|8|-68.50|-52.50|0|null|0|null|95|null|290.05|2|null|5|null|0|null|13|null|null|null|null|null|3|1|null|null|5|3|null|60|null|16.9|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3QNL8-SST|ICOADS-302-M3QNL8|0|2016-04-11 06:00:00|2|8|-68.20|-52.60|0|null|0|null|95|null|289.95|2|null|5|null|0|null|13|null|null|null|null|null|3|1|null|null|5|3|null|60|null|16.8|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3QUM8-SST|ICOADS-302-M3QUM8|0|2016-04-11 07:00:00|2|8|-67.90|-52.60|0|null|0|null|95|null|289.95|2|null|5|null|0|null|13|null|null|null|null|null|3|1|null|null|5|3|null|60|null|16.8|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3R1RO-SST|ICOADS-302-M3R1RO|0|2016-04-11 08:00:00|2|8|-67.70|-52.40|0|null|0|null|95|null|289.85|2|null|5|null|0|null|13|null|null|null|null|null|3|1|null|null|5|3|null|60|null|16.7|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3R8ZY-SST|ICOADS-302-M3R8ZY|0|2016-04-11 09:00:00|2|8|-67.50|-52.30|0|null|0|null|95|null|289.75|2|null|5|null|0|null|13|null|null|null|null|null|3|1|null|null|5|3|null|60|null|16.6|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
