report_id|region|sub_region|application_area|observing_programme|report_type|station_name|station_type|platform_type|platform_sub_type|primary_station_id|station_record_number|primary_station_id_scheme|longitude|latitude|location_accuracy|location_method|location_quality|crs|station_speed|station_course|station_heading|height_of_station_above_local_ground|height_of_station_above_sea_level|height_of_station_above_sea_level_accuracy|sea_level_datum|report_meaning_of_timestamp|report_timestamp|report_duration|report_time_accuracy|report_time_quality|report_time_reference|profile_id|events_at_station|report_quality|duplicate_status|duplicates|record_timestamp|history|processing_level|processing_codes|source_id|source_record_id
ICOADS-302-LQWUTC|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|UDKG|1|5|31.60|75.60|11|null|0|0|14.4|135|null|0.0|0.0|null|null|2|null|11|3600|2|null|null|null|0|4|null|2024-03-08 08:41:53|2024-03-08 08:41:53. Initial conversion from ICOADS R3.0.2T|null|null|ICOADS-3-0-2T-114-992-2022-13|LQWUTC
ICOADS-302-LQWUUI|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|LAHV|1|5|18.90|69.60|12|null|0|0|null|null|null|0.0|0.0|null|null|2|2022-01-01 00:00:00|11|3600|2|null|null|null|0|4|null|2024-03-08 08:41:53|2024-03-08 08:41:53. Initial conversion from ICOADS R3.0.2T|null|null|ICOADS-3-0-2T-114-992-2022-1|LQWUUI
ICOADS-302-LQWUV2|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|TFSTD|1|5|-23.40|66.40|12|null|0|0|0.0|0|null|0.0|0.0|null|null|2|2022-01-01 00:00:00|11|3600|2|null|null|null|0|4|null|2024-03-08 08:41:53|2024-03-08 08:41:53. Initial conversion from ICOADS R3.0.2T|null|null|ICOADS-3-0-2T-114-992-2022-1|LQWUV2
ICOADS-302-LQWUV3|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|LF5$|1|5|8.10|66.00|12|null|0|0|0.0|0|null|0.0|0.0|null|null|2|2022-01-01 00:00:00|11|3600|2|null|null|null|0|4|null|2024-03-08 08:41:53|2024-03-08 08:41:53. Initial conversion from ICOADS R3.0.2T|null|null|ICOADS-3-0-2T-114-992-2022-1|LQWUV3
ICOADS-302-LQWUV6|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|TFDRN|1|5|-21.20|65.80|12|null|0|0|0.0|0|null|0.0|0.0|null|null|2|2022-01-01 00:00:00|11|3600|2|null|null|null|0|4|null|2024-03-08 08:41:53|2024-03-08 08:41:53. Initial conversion from ICOADS R3.0.2T|null|null|ICOADS-3-0-2T-114-992-2022-1|LQWUV6
ICOADS-302-LQWUT1|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|LF5A|1|5|9.10|67.00|12|null|0|0|0.0|0|null|0.0|0.0|null|null|2|2022-01-02 00:00:00|11|3600|2|null|null|null|0|4|null|2024-03-08 08:41:53|2024-03-08 08:41:53. Initial conversion from ICOADS R3.0.2T|null|null|ICOADS-3-0-2T-114-992-2022-1|LQWUT1
ICOADS-302-LQWUT2|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|LF5B|1|5|10.10|68.00|12|null|0|0|0.0|0|null|0.0|0.0|null|null|2|2022-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2024-03-08 08:41:53|2024-03-08 08:41:53. Initial conversion from ICOADS R3.0.2T|null|null|ICOADS-3-0-2T-114-992-2022-1|LQWUT2
ICOADS-302-LQWUT3|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|LF5C|1|5|11.10|69.00|12|null|0|0|0.0|0|null|0.0|0.0|null|null|2|2022-01-04 00:00:00|11|3600|2|null|null|null|0|4|null|2024-03-08 08:41:53|2024-03-08 08:41:53. Initial conversion from ICOADS R3.0.2T|null|null|ICOADS-3-0-2T-114-992-2022-1|LQWUT3
ICOADS-302-LQWUT4|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|LF5D|1|5|12.10|70.00|12|null|0|0|0.0|0|null|0.0|0.0|null|null|2|2022-01-05 00:00:00|11|3600|2|null|null|null|0|4|null|2024-03-08 08:41:53|2024-03-08 08:41:53. Initial conversion from ICOADS R3.0.2T|null|null|ICOADS-3-0-2T-114-992-2022-1|LQWUT4
ICOADS-302-LQWUT5|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|LF5E|1|5|13.10|71.00|12|null|0|0|0.0|0|null|0.0|0.0|null|null|2|2022-01-06 00:00:00|11|3600|2|null|null|null|0|4|null|2024-03-08 08:41:53|2024-03-08 08:41:53. Initial conversion from ICOADS R3.0.2T|null|null|ICOADS-3-0-2T-114-992-2022-1|LQWUT5
