observation_id|report_id|data_policy_licence|date_time|date_time_meaning|observation_duration|longitude|latitude|crs|z_coordinate|z_coordinate_type|observation_height_above_station_surface|observed_variable|secondary_variable|observation_value|value_significance|secondary_value|units|code_table|conversion_flag|location_method|location_precision|z_coordinate_method|bbox_min_longitude|bbox_max_longitude|bbox_min_latitude|bbox_max_latitude|spatial_representativeness|quality_flag|numerical_precision|sensor_id|sensor_automation_status|exposure_of_sensor|original_precision|original_units|original_code_table|original_value|conversion_method|processing_code|processing_level|adjustment_id|traceability|advanced_qc|advanced_uncertainty|advanced_homogenisation|source_id
ICOADS-302-LQWUUI-DPT|ICOADS-302-LQWUUI|0|2022-01-01 00:00:00|2|8|18.90|69.60|0|null|0|null|36|null|269.35|2|null|5|null|0|null|12|null|null|null|null|null|3|2|null|null|5|3|null|60|null|-3.8|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2022-1
ICOADS-302-LQWUV3-DPT|ICOADS-302-LQWUV3|0|2022-01-01 00:00:00|2|8|8.10|66.00|0|null|0|null|36|null|275.95|2|null|5|null|0|null|12|null|null|null|null|null|3|2|null|null|5|3|null|60|null|2.8|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2022-1
ICOADS-302-LQWUT1-DPT|ICOADS-302-LQWUT1|0|2022-01-02 00:00:00|2|8|9.10|67.00|0|null|0|null|36|null|275.95|2|null|5|null|0|null|12|null|null|null|null|null|3|2|null|null|5|3|null|60|null|2.8|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2022-1
ICOADS-302-LQWUT2-DPT|ICOADS-302-LQWUT2|0|2022-01-03 00:00:00|2|8|10.10|68.00|0|null|0|null|36|null|275.95|2|null|5|null|0|null|12|null|null|null|null|null|3|2|null|null|5|3|null|60|null|2.8|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2022-1
ICOADS-302-LQWUT3-DPT|ICOADS-302-LQWUT3|0|2022-01-04 00:00:00|2|8|11.10|69.00|0|null|0|null|36|null|275.95|2|null|5|null|0|null|12|null|null|null|null|null|3|2|null|null|5|3|null|60|null|2.8|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2022-1
ICOADS-302-LQWUT4-DPT|ICOADS-302-LQWUT4|0|2022-01-05 00:00:00|2|8|12.10|70.00|0|null|0|null|36|null|275.95|2|null|5|null|0|null|12|null|null|null|null|null|3|2|null|null|5|3|null|60|null|2.8|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2022-1
ICOADS-302-LQWUT5-DPT|ICOADS-302-LQWUT5|0|2022-01-06 00:00:00|2|8|13.10|71.00|0|null|0|null|36|null|275.95|2|null|5|null|0|null|12|null|null|null|null|null|3|2|null|null|5|3|null|60|null|2.8|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2022-1
ICOADS-302-LQWUT6-DPT|ICOADS-302-LQWUT6|0|2022-01-06 00:00:00|2|8|13.10|71.00|0|null|0|null|36|null|275.95|2|null|5|null|0|null|12|null|null|null|null|null|3|2|null|null|5|3|null|60|null|2.8|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2022-1
ICOADS-302-LQWUT7-DPT|ICOADS-302-LQWUT7|0|2022-01-06 00:00:00|2|8|13.10|71.00|0|null|0|null|36|null|275.95|2|null|5|null|0|null|12|null|null|null|null|null|3|2|null|null|5|3|null|60|null|2.8|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2022-1
ICOADS-302-LQWUT8-DPT|ICOADS-302-LQWUT8|0|2022-01-05 00:00:00|2|8|12.10|70.00|0|null|0|null|36|null|275.95|2|null|5|null|0|null|12|null|null|null|null|null|3|2|null|null|5|3|null|60|null|2.8|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2022-1
