observation_id|report_id|data_policy_licence|date_time|date_time_meaning|observation_duration|longitude|latitude|crs|z_coordinate|z_coordinate_type|observation_height_above_station_surface|observed_variable|secondary_variable|observation_value|value_significance|secondary_value|units|code_table|conversion_flag|location_method|location_precision|z_coordinate_method|bbox_min_longitude|bbox_max_longitude|bbox_min_latitude|bbox_max_latitude|spatial_representativeness|quality_flag|numerical_precision|sensor_id|sensor_automation_status|exposure_of_sensor|original_precision|original_units|original_code_table|original_value|conversion_method|processing_code|processing_level|adjustment_id|traceability|advanced_qc|advanced_uncertainty|advanced_homogenisation|source_id
gdac_4deae853cda55815b458353bdfe3ec51_SLP|gdac_4deae853cda55815b458353bdfe3ec51|0|2001-07-23 00:00:00|null|8|88.5|20.3|0|null|0|null|58|null|9920|12|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|99.2|7|null|3|null|2|0|0|0|null
gdac_340ed04354fc5f698fcc23b8810d0af1_SLP|gdac_340ed04354fc5f698fcc23b8810d0af1|0|2001-07-23 06:00:00|null|8|89.4|19.2|0|null|0|null|58|null|250|12|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|2.5|7|null|3|null|2|0|0|0|null
gdac_8f89a30ac6a05887b473857396f8f6d5_SLP|gdac_8f89a30ac6a05887b473857396f8f6d5|0|2001-07-23 12:00:00|null|8|90.1|18.1|0|null|0|null|58|null|290|12|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|2.9|7|null|3|null|2|0|0|0|null
gdac_1eacba75111450ddbaddcee22137d32b_SLP|gdac_1eacba75111450ddbaddcee22137d32b|0|2001-07-23 18:00:00|null|8|90.8|17.0|0|null|0|null|58|null|390|12|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|3.9|7|null|3|null|2|0|0|0|null
gdac_4e33204234f95bab83f1f722b13eebab_SLP|gdac_4e33204234f95bab83f1f722b13eebab|0|2001-07-24 00:00:00|null|8|91.7|15.8|0|null|0|null|58|null|450|12|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|4.5|7|null|3|null|2|0|0|0|null
gdac_4deae853cda55815b458353bdfe3ec51_SLP|gdac_4deae853cda55815b458353bdfe3ec51|0|2002-07-23 00:00:00|null|8|88.5|20.3|0|null|0|null|58|null|9920|12|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|99.2|7|null|3|null|2|0|0|0|null
gdac_340ed04354fc5f698fcc23b8810d0af1_SLP|gdac_340ed04354fc5f698fcc23b8810d0af1|0|2002-07-23 06:00:00|null|8|89.4|19.2|0|null|0|null|58|null|250|12|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|2.5|7|null|3|null|2|0|0|0|null
gdac_8f89a30ac6a05887b473857396f8f6d5_SLP|gdac_8f89a30ac6a05887b473857396f8f6d5|0|2002-07-23 12:00:00|null|8|90.1|18.1|0|null|0|null|58|null|290|12|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|2.9|7|null|3|null|2|0|0|0|null
gdac_1eacba75111450ddbaddcee22137d32b_SLP|gdac_1eacba75111450ddbaddcee22137d32b|0|2002-07-23 18:00:00|null|8|90.8|17.0|0|null|0|null|58|null|390|12|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|3.9|7|null|3|null|2|0|0|0|null
gdac_4e33204234f95bab83f1f722b13eebab_SLP|gdac_4e33204234f95bab83f1f722b13eebab|0|2002-07-24 00:00:00|null|8|91.7|15.8|0|null|0|null|58|null|450|12|null|32|null|0|null|null|null|null|null|null|null|3|2|null|null|5|3|null|530|null|4.5|7|null|3|null|2|0|0|0|null
