report_id|region|sub_region|application_area|observing_programme|report_type|station_name|station_type|platform_type|platform_sub_type|primary_station_id|station_record_number|primary_station_id_scheme|longitude|latitude|location_accuracy|location_method|location_quality|crs|station_speed|station_course|station_heading|height_of_station_above_local_ground|height_of_station_above_sea_level|height_of_station_above_sea_level_accuracy|sea_level_datum|report_meaning_of_timestamp|report_timestamp|report_duration|report_time_accuracy|report_time_quality|report_time_reference|profile_id|events_at_station|report_quality|duplicate_status|duplicates|record_timestamp|history|processing_level|processing_codes|source_id|source_record_id
DWD_MAROBSHIP-432189575|null|null|{1,7,10,11}|{56}|0|null|2|2|null|ABR9RDM|1|5|113.1|16.2|null|null|3|0|4.63|225|null|0.0|0.0|null|null|2|2026-02-12 07:00:00|15|1|null|null|null|null|2|4|null|2026-02-19 12:46:01|2026-02-19 12:46:01. Initial conversion from DWD MAROB data base|null|null|10256|432189575
DWD_MAROBSHIP-432198118|null|null|{1,7,10,11}|{56}|0|null|2|2|null|CQ2357|1|5|61.2|-29.1|null|null|3|0|3.60|45|null|0.0|0.0|null|null|2|2026-02-12 08:00:00|15|1|null|null|null|null|2|4|null|2026-02-19 12:46:01|2026-02-19 12:46:01. Initial conversion from DWD MAROB data base|null|null|10256|432198118
DWD_MAROBSHIP-432231577|null|null|{1,7,10,11}|{56}|0|null|2|2|null|C6EF4|1|5|-85.6|21.5|null|null|3|0|4.63|45|null|0.0|0.0|null|null|2|2026-02-12 08:00:00|15|1|null|null|null|null|2|4|null|2026-02-19 12:46:01|2026-02-19 12:46:01. Initial conversion from DWD MAROB data base|null|null|10256|432231577
DWD_MAROBSHIP-432180342|null|null|{1,7,10,11}|{56}|0|null|2|2|null|WSM5364|1|5|-122.4|47.7|null|null|3|0|0.00|null|null|0.0|0.0|null|null|2|2026-02-12 06:00:00|15|1|null|null|null|null|2|4|null|2026-02-19 12:46:01|2026-02-19 12:46:01. Initial conversion from DWD MAROB data base|null|null|10256|432180342
DWD_MAROBSHIP-432204028|null|null|{1,7,10,11}|{56}|0|null|2|2|null|XNDW39M|1|5|-33.8|-5.0|null|null|3|0|3.60|315|null|0.0|0.0|null|null|2|2026-02-12 09:00:00|15|1|null|null|null|null|2|4|null|2026-02-19 12:46:01|2026-02-19 12:46:01. Initial conversion from DWD MAROB data base|null|null|10256|432204028
DWD_MAROBSHIP-432158582|null|null|{1,7,10,11}|{56}|0|null|2|2|null|LED82EE|1|5|56.0|-21.9|null|null|3|0|5.14|240|null|0.0|0.0|null|null|2|2026-02-12 03:00:00|15|1|null|null|null|null|2|4|null|2026-02-19 12:46:01|2026-02-19 12:46:01. Initial conversion from DWD MAROB data base|null|null|10384|432158582
DWD_MAROBSHIP-432207124|null|null|{1,7,10,11}|{56}|0|null|2|2|null|ZGXRBQD|1|5|12.1|54.2|null|null|3|0|0.00|0|null|0.0|0.0|null|null|2|2026-02-12 10:00:00|15|1|null|null|null|null|2|4|null|2026-02-19 12:46:01|2026-02-19 12:46:01. Initial conversion from DWD MAROB data base|null|null|10384|432207124
DWD_MAROBSHIP-432176947|null|null|{1,7,10,11}|{56}|0|null|2|2|null|ZJMN7RS|1|5|-52.8|48.6|null|null|3|0|2.06|360|null|0.0|0.0|null|null|2|2026-02-12 06:00:00|15|1|null|null|null|null|2|4|null|2026-02-19 12:46:01|2026-02-19 12:46:01. Initial conversion from DWD MAROB data base|null|null|10384|432176947
DWD_MAROBSHIP-432214042|null|null|{1,7,10,11}|{56}|0|null|2|2|null|9GGVSAT|1|5|-47.0|-25.9|null|null|3|0|5.66|205|null|0.0|0.0|null|null|2|2026-02-12 11:00:00|15|1|null|null|null|null|2|4|null|2026-02-19 12:46:01|2026-02-19 12:46:01. Initial conversion from DWD MAROB data base|null|null|10384|432214042
DWD_MAROBSHIP-432228524|null|null|{1,7,10,11}|{56}|0|null|2|2|null|9YBQ2LW|1|5|-62.7|34.9|null|null|3|0|4.12|145|null|0.0|0.0|null|null|2|2026-02-12 13:00:00|15|1|null|null|null|null|2|4|null|2026-02-19 12:46:01|2026-02-19 12:46:01. Initial conversion from DWD MAROB data base|null|null|10384|432228524
