observation_id|report_id|data_policy_licence|date_time|date_time_meaning|observation_duration|longitude|latitude|crs|z_coordinate|z_coordinate_type|observation_height_above_station_surface|observed_variable|secondary_variable|observation_value|value_significance|secondary_value|units|code_table|conversion_flag|location_method|location_precision|z_coordinate_method|bbox_min_longitude|bbox_max_longitude|bbox_min_latitude|bbox_max_latitude|spatial_representativeness|quality_flag|numerical_precision|sensor_id|sensor_automation_status|exposure_of_sensor|original_precision|original_units|original_code_table|original_value|conversion_method|processing_code|processing_level|adjustment_id|traceability|advanced_qc|advanced_uncertainty|advanced_homogenisation|source_id
DWD_MAROBSHIP-432189575-AT|DWD_MAROBSHIP-432189575|1|2026-02-12 07:00:00|2|8|113.1|16.2|0|null|0|null|85|null|299.15|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|60|null|26.0|1|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432198118-AT|DWD_MAROBSHIP-432198118|1|2026-02-12 08:00:00|2|8|61.2|-29.1|0|null|0|null|85|null|299.15|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|60|null|26.0|1|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432231577-AT|DWD_MAROBSHIP-432231577|1|2026-02-12 08:00:00|2|8|-85.6|21.5|0|null|0|null|85|null|297.25|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|60|null|24.1|1|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432180342-AT|DWD_MAROBSHIP-432180342|1|2026-02-12 06:00:00|2|8|-122.4|47.7|0|null|0|null|85|null|278.75|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|60|null|5.6|1|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432204028-AT|DWD_MAROBSHIP-432204028|1|2026-02-12 09:00:00|2|8|-33.8|-5.0|0|null|0|null|85|null|299.65|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|60|null|26.5|1|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432158582-AT|DWD_MAROBSHIP-432158582|1|2026-02-12 03:00:00|2|8|56.0|-21.9|0|null|0|50.0|85|null|299.85|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|60|null|26.7|1|null|3|null|2|0|0|0|10384
DWD_MAROBSHIP-432207124-AT|DWD_MAROBSHIP-432207124|1|2026-02-12 10:00:00|2|8|12.1|54.2|0|null|0|10.0|85|null|274.65|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|60|null|1.5|1|null|3|null|2|0|0|0|10384
DWD_MAROBSHIP-432176947-AT|DWD_MAROBSHIP-432176947|1|2026-02-12 06:00:00|2|8|-52.8|48.6|0|null|0|17.9|85|null|272.55|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|60|null|-0.6|1|null|3|null|2|0|0|0|10384
DWD_MAROBSHIP-432214042-AT|DWD_MAROBSHIP-432214042|1|2026-02-12 11:00:00|2|8|-47.0|-25.9|0|null|0|44.0|85|null|300.85|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|60|null|27.7|1|null|3|null|2|0|0|0|10384
DWD_MAROBSHIP-432228524-AT|DWD_MAROBSHIP-432228524|1|2026-02-12 13:00:00|2|8|-62.7|34.9|0|null|0|55.0|85|null|286.85|2|null|5|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|60|null|13.7|1|null|3|null|2|0|0|0|10384
