observation_id|report_id|data_policy_licence|date_time|date_time_meaning|observation_duration|longitude|latitude|crs|z_coordinate|z_coordinate_type|observation_height_above_station_surface|observed_variable|secondary_variable|observation_value|value_significance|secondary_value|units|code_table|conversion_flag|location_method|location_precision|z_coordinate_method|bbox_min_longitude|bbox_max_longitude|bbox_min_latitude|bbox_max_latitude|spatial_representativeness|quality_flag|numerical_precision|sensor_id|sensor_automation_status|exposure_of_sensor|original_precision|original_units|original_code_table|original_value|conversion_method|processing_code|processing_level|adjustment_id|traceability|advanced_qc|advanced_uncertainty|advanced_homogenisation|source_id
DWD_MAROBSHIP-432189575-WS|DWD_MAROBSHIP-432189575|1|2026-02-12 07:00:00|2|8|113.1|16.2|0|null|0|null|107|null|2.9|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|741|null|10.3|null|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432198118-WS|DWD_MAROBSHIP-432198118|1|2026-02-12 08:00:00|2|8|61.2|-29.1|0|null|0|null|107|null|2.4|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|741|null|8.7|null|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432231577-WS|DWD_MAROBSHIP-432231577|1|2026-02-12 08:00:00|2|8|-85.6|21.5|0|null|0|null|107|null|2.9|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|741|null|10.3|null|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432180342-WS|DWD_MAROBSHIP-432180342|1|2026-02-12 06:00:00|2|8|-122.4|47.7|0|null|0|null|107|null|0.1|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|741|null|0.5|null|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432204028-WS|DWD_MAROBSHIP-432204028|1|2026-02-12 09:00:00|2|8|-33.8|-5.0|0|null|0|null|107|null|1.0|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|4|3|null|741|null|3.6|null|null|3|null|2|0|0|0|10256
DWD_MAROBSHIP-432158582-WS|DWD_MAROBSHIP-432158582|1|2026-02-12 03:00:00|2|8|56.0|-21.9|0|null|0|51.0|107|null|2.3|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|741|null|8.4|null|null|3|null|2|0|0|0|10384
DWD_MAROBSHIP-432207124-WS|DWD_MAROBSHIP-432207124|1|2026-02-12 10:00:00|2|8|12.1|54.2|0|null|0|18.0|107|null|1.3|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|741|null|4.7|null|null|3|null|2|0|0|0|10384
DWD_MAROBSHIP-432176947-WS|DWD_MAROBSHIP-432176947|1|2026-02-12 06:00:00|2|8|-52.8|48.6|0|null|0|17.2|107|null|1.4|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|741|null|5.1|null|null|3|null|2|0|0|0|10384
DWD_MAROBSHIP-432214042-WS|DWD_MAROBSHIP-432214042|1|2026-02-12 11:00:00|2|8|-47.0|-25.9|0|null|0|45.0|107|null|2.8|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|741|null|10.2|null|null|3|null|2|0|0|0|10384
DWD_MAROBSHIP-432228524-WS|DWD_MAROBSHIP-432228524|1|2026-02-12 13:00:00|2|8|-62.7|34.9|0|null|0|56.0|107|null|2.0|2|null|731|null|2|null|null|null|null|null|null|null|3|2|null|null|0|3|null|741|null|7.2|null|null|3|null|2|0|0|0|10384
