DATENQUELLE_ID;ID;KENNUNG;GEOGR_LAENGE;GEOGR_LAENGE_FLAG;GEOGR_BREITE;GEOGR_BREITE_FLAG;STATIONSHOEHE_MSL;BAROMETERHOEHE_MSL;MESSZEIT;MESSZEIT_FLAG;ORIGIN_CENTER;ORIGIN_SUBCENTER;FAHRTGESCHWINDIGKEIT;FAHRTRICHTUNG;SENSORHOEHE_WAS_TT;LUFTTEMPERATUR;LUFTTEMPERATUR_FLAG;TAUPUNKTTEMPERATUR;TAUPUNKTTEMPERATUR_FLAG;FEUCHTTEMPERATUR;FEUCHTTEMPERATUR_FLAG;LUFTDRUCK_STATIONSHOEHE;LUFTDRUCK_STATIONSHOEHE_FLAG;WASSERTEMPERATUR;WASSERTEMPERATUR_FLAG;MESSTIEFE;SENSORHOEHE_WAS_FF;WINDRICHTUNG;WINDRICHTUNG_FLAG;WINDGESCHWINDIGKEIT;WINDGESCHWINDIGKEIT_FLAG
10256;432189575;ABR9RDM;113,1;;16,2;;;;12.02.26 07:00:00,000000000;;74;0;9;225;;26;;21,5;;23;;;;27;;;;50;;10,3;
10256;432198118;CQ2357;61,2;;-29,1;;;;12.02.26 08:00:00,000000000;;8;0;7;45;;26;;;;;;;;24;;;;110;;8,7;
10256;432231577;C6EF4;-85,6;;21,5;;;;12.02.26 08:00:00,000000000;;8;0;9;45;;24,1;;16,1;;19,2;;;;22;;;;90;;10,3;
10256;432180342;WSM5364;-122,4;;47,7;;;;12.02.26 06:00:00,000000000;;8;0;0;;;5,6;;3,5;;;;;;;;;;90;;0,5;
10256;432204028;XNDW39M;-33,8;;-5;;;;12.02.26 09:00:00,000000000;;74;0;7;315;;26,5;;22,1;;23,5;;;;28,1;;;;250;;3,6;
10384;432158582;LED82EE;55,95;;-21,91;;;50;12.02.26 03:00:00,000000000;;85;0;10;240;50;26,7;;23,8;;;;1012,7;;;;;51;110;;8,4;
10384;432207124;ZGXRBQD;12,12;;54,16;;;6;12.02.26 10:00:00,000000000;;85;0;0;0;10;1,5;;0,8;;;;980,1;;0,56;;2;18;85;;4,7;
10384;432176947;ZJMN7RS;-52,8;;48,6;;;;12.02.26 06:00:00,000000000;;53;0;4;360;17,9;-0,6;;-0,6;;;;;;1,7;;;17,2;60;;5,1;
10384;432214042;9GGVSAT;-47,05;;-25,93;;;44;12.02.26 11:00:00,000000000;;85;0;11;205;44;27,7;;23,6;;;;1008,5;;;;;45;10;;10,2;
10384;432228524;9YBQ2LW;-62,69;;34,87;;;55;12.02.26 13:00:00,000000000;;85;0;8;145;55;13,7;;10,4;;;;1002,7;;;;;56;300;;7,2;
